GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
store-app,com.store.app.connection,dbConnection,15,3,2,0,5,1,3,1,2,1
store-app,com.store.app.servlet,OrderServlet,8,85,2,8,4,24,2,6,0,3
store-app,com.store.app.servlet,Auth,76,0,6,0,25,0,6,0,3,0
store-app,com.store.app.servlet,OpsServlet,193,0,30,0,56,0,18,0,3,0
store-app,com.store.app.servlet,CartServlet,1,84,0,8,1,25,1,6,1,2
store-app,com.store.app.dao,UserDao,65,0,2,0,18,0,3,0,2,0
store-app,com.store.app.dao,OrderDao,173,0,2,0,47,0,5,0,4,0
store-app,com.store.app.dao,ProductDao,24,264,1,17,11,64,2,13,1,5
store-app,com.store.app.model,Order,57,11,0,0,20,6,9,3,9,3
store-app,com.store.app.model,User,0,46,0,0,0,20,0,10,0,10
store-app,com.store.app.model,Cart,0,10,0,0,0,5,0,3,0,3
store-app,com.store.app.model,Product,0,56,0,0,0,24,0,12,0,12
